id,nickname,title,finishYn,ageGrade,dateCreated,averageScore,artist,latest_upload,last_chapter,img_url,page url,intro,genres,categories
1961,plantman,식물인간,Y,0,20200511104305,9.928205128205128,진아/진아,20200518103455,3,http://t1.daumcdn.net/webtoon/op/de0bd8c94d2601e4a9ed4c4088b15f6b4fd2271f,http://webtoon.daum.net/webtoon/view/plantman,"몸에서 식물이 자라는 '식물인간'을 치료하기 위해 세계를 떠도는, 기묘하고 아름다운 힐링 판타지.",판타지/드라마,질병/돌연변이/모험/힐링/스토리
1799,haeosara,해오와 사라,N,0,20190923170829,9.927734762755609,송송이/송송이,20210309000100,61,http://t1.daumcdn.net/webtoon/op/b5e71508eb7287fdf11ccd1c9e08dfd33ca1bd73,http://webtoon.daum.net/webtoon/view/haeosara,제주도 우도의 푸른 바다. 해녀와 인어의 특별한 인연이 시작된다.,드라마/판타지,인어/바다/우정/스토리
1541,againflower,다시피는 꽃,Y,0,20180905180140,9.927536231884059,김용회/김용회,20180914133904,3,http://t1.daumcdn.net/webtoon/op/7c9378a90850f5119a053b80ffba037d623d692d,http://webtoon.daum.net/webtoon/view/againflower,"나이를 먹던, 먹지 않았던 누구나 자신만의 이야기가 있다. 위안부 할머니들의 애틋하고 슬픈 이야기",드라마,추억/감동/역사/감성/스토리
2126,weather,날씨의 요정,N,0,20210224162105,9.927405740011254,이이영/이이영,20210305000100,2,http://t1.daumcdn.net/webtoon/op/754d6395be881f34703f6444c759fb3614474bfc,http://webtoon.daum.net/webtoon/view/weather,"어느 시골 마을 기우제, 낯선 소년을 만났다. 그리고 비가 내렸다.",순정/판타지,연애/삼각관계/시골/신/스토리
1839,waitU,너를 기다리는 날,N,0,20191114160419,9.927212572373863,복복/복복,20210306000100,51,http://t1.daumcdn.net/webtoon/op/57c9373c8f3feac75302b89acb2da24c3d6df7f4,http://webtoon.daum.net/webtoon/view/waitU,10년 전 99일 간 실종되었던 하윤은 자신이 실종되었던 장소에서 기묘한 또래 남자아이를 만나게 된다.,순정/판타지,사랑/고등학생/기다림/신/스토리
1355,bridge,브릿지,Y,0,20170324161446,9.927204267336053,강풀/강풀,20180101000000,46,http://t1.daumcdn.net/cartoon/58D4C67F0509370001,http://webtoon.daum.net/webtoon/view/bridge,강풀 액션만화 두번째 시즌 '브릿지'. 한국형 히어로들의 이야기는 아직 끝나지 않았다!,액션/드라마,초능력/능력자/히어로/영웅/스토리
1338,ItaewonClass,이태원 클라쓰,Y,0,20161226164309,9.926456357654345,광진/광진,20200124000100,10,http://t1.daumcdn.net/cartoon/59226D8606616F0002,http://webtoon.daum.net/webtoon/view/ItaewonClass,"각자의 가치관이 어우러지는 이 곳, '이태원'. 이 거리를 살아가는 그들의 이야기",드라마,청춘/술/성장드라마/연애/스토리
1710,nightgirls,밤에 사는 소녀,Y,0,20190627135013,9.926040494938134,문홍조/문홍조,20200208000000,32,http://t1.daumcdn.net/webtoon/op/cbd298e547f96893ab57a991d8549bcf5db51558,http://webtoon.daum.net/webtoon/view/nightgirls,암울한 태생의 두 소녀에게서 일어나는 일들과 그들의 행복에 관한 이야기,드라마/학원,성장드라마/우정/희망/소녀/스토리
1468,loveway,우리가 사랑하는 방법,A,0,20180511143256,9.925849560901108,기비/기비,20201125000000,88,http://t1.daumcdn.net/webtoon/op/16c7c325d1d230ea97e9d2044c0c39a5935c26dd,http://webtoon.daum.net/webtoon/view/loveway,그녀의 마음을 얻기 위해 아이돌 덕질에 뛰어들다!,순정,짝사랑/아이돌/연애/연예인/스토리
1378,CatQueen,고양이 마마님,Y,0,20170803112821,9.925656122143499,마루/마루,20180723000000,44,http://t1.daumcdn.net/webtoon/op/a2f86ed531940714434e3f32eac9153f1d772191,http://webtoon.daum.net/webtoon/view/CatQueen,지금의 당신에게 소중한 시간은 언제인가요? 300년만에 다시 시작된 인연과 악연의 굴레.,순정/판타지,전생/고양이/연애/학원/스토리
